username,domain,name,slug,is_primary
steffoz,mastodon.social,AI,ai,false
steffoz,mastodon.social,Books & Literature,books_literature,false
steffoz,mastodon.social,Climate change,climate_change,false
steffoz,mastodon.social,Journalism & Comment,news_comment_data,false
Jimellisuk,mstdn.social,Social Media,social_media,false
Jimellisuk,mstdn.social,Social Sciences,social_sciences,false
Jimellisuk,mstdn.social,Space,space,false
Jimellisuk,mstdn.social,Technology,technology,false
Jimellisuk,mstdn.social,TV & Radio,tv_radio,false
Jimellisuk,mstdn.social,Ukraine Invasion,ukraine_invasion,false
Jimellisuk,mstdn.social,US Politics,us_politics,false
Jimellisuk,mstdn.social,Visual Arts,visual_arts,false
Jimellisuk,mstdn.social,Weather,weather,false
mjgardner,social.sdf.org,Philosophy,philosophy,false
sydney_aokay,mastodon.social,Energy & Pollution,energy_pollution,false
sydney_aokay,mastodon.social,Engineering,engineering,false
sydney_aokay,mastodon.social,Environment,environment,false
sithubo_pt,newsmast.social,Law & Justice,law_justice,false
sithubo_pt,newsmast.social,LGBTQ+,lgbtq,false
sithubo_pt,newsmast.social,Journalism & Comment,news_comment_data,false
sithubo_pt,newsmast.social,Politics,politics,false
sithubo_pt,newsmast.social,Poverty & Inequality,poverty_inequality,false
sithubo_pt,newsmast.social,Social Media,social_media,false
sithubo_pt,newsmast.social,Ukraine Invasion,ukraine_invasion,false
sithubo_pt,newsmast.social,US Politics,us_politics,false
sithubo_pt,newsmast.social,Weather,weather,false
