slug,followers
academia-research,"@embojournal@sciencemastodon.com, @PCI_Archaeology@archaeo.social, @physics@scipost.social, @PeerJ@mastodon.social, @koen_hufkens@mastodon.social, @petersuber@fediscience.org, @molbioevol@ecoevo.social, @PLOSBiology@fediscience.org, @J_Exp_Biol@biologists.social, @ScientificEuropean@toot.community, @philipptrein@tooting.ch, @RMansell@mastodonapp.uk, @JExpMed@mstdn.science, @Bram_Wauters@mastodon-belgium.be, @DOAJ@masto.ai, @organic_chemistry@mstdn.social, @PNASNews@fediscience.org, @AoBP@ecoevo.social, @SICBJOURNALS@earthstream.social, @paperswelove@mstdn.io, @insideQuantum@mathstodon.xyz, @zbMATH@mathstodon.xyz, @openbookcollect@mastodon.social, @Einstein_Berlin@wisskomm.social, @JCellBiol@mstdn.science, @eszter@mastodon.social, @thinkmacro@sciences.social, @RomanaCareja@fediscience.org, @researchinenglish@mastodon.social, @thefluffy007@newsmast.social"
biology,"@biologycommunityupdate@newsmast.social, @newsmast@newsmast.social, @AnnBot@botany.social, @jbloom_lab@mstdn.science, @ScientistSoph@mastodon.online, @carondanielp@genomic.social, @peterkasson@med-mastodon.com, @DrAnneCarpenter@fediscience.org, @FViromics@mstdn.science, @marcvanderkamp@mstdn.social, @jrcpulliam@mathstodon.xyz, @cellbionews@scientificnetwork.de, @bjenquist@mastodon.social, @evolscientist@mastodon.social, @embojournal@sciencemastodon.com, @Carl_Zimmer@mastodon.social, @leramiles@mastodon.online, @echinoblog@sciencemastodon.com, @michaelhoffman@mastodon.social, @microgem@mastodon.social, @Sabsalon@mas.to, @susieoftraken@mastodon.social, @YvonJaillais@tooting.ch, @polka@mastodon.social, @jcamthrash@mstdn.science, @ehaswell@mstdn.social, @richardneher@mstdn.science, @caninebrainsproject@ecoevo.social, @aliceroberts@mastodonapp.uk, @QuantaMagazine@mstdn.social, @morethanadodo@mastodon.world, @DenisMeuthen@fediscience.org, @bugmanjones@techhub.social, @curiocritters@ecoevo.social, @StrepsipZerg@scicomm.xyz, @johnrhutchinson@ecoevo.social, @MeauxJuliette@ecoevo.social, @jpjhall@mstdn.science, @maciekboni@med-mastodon.com, @ekmiller@fediscience.org, @molbioevol@ecoevo.social, @PLOSBiology@fediscience.org, @schoppik@mastodon.social, @rmwaterhouse@ecoevo.social, @skarthik@neuromatch.social, @NicoleCRust@neuromatch.social, @J_Exp_Biol@biologists.social, @nellgreenfieldboyce@mastodon.social, @thebiologistisn@redwombat.social, @djigr@mastodon.cloud, @JExpMed@mstdn.science, @GullumLuvl@ecoevo.social, @mads100tist@mastodon.social, @KorimakoEcology@ecoevo.social, @statto@mas.to, @ToyookaLab@synapse.cafe, @JulianSchrader@ecoevo.social, @AoBP@ecoevo.social, @CellySally@biologists.social, @eurunuela@fediscience.org, @solislemuslab@mstdn.social, @felixvaux@mastodon.social, @boas_pucker@mastodon.social, @JCellBiol@mstdn.science, @dsbsoc@mstdn.science, @cjrlab@fediscience.org, @pills_ofscience@mastodon.uno, @BugsInYourGuts@mastodon.social, @DukesJeff@ecoevo.social, @andygardner@ecoevo.social, @richmeisel@ecoevo.social, @cazencott@lipn.info, @aarmey@mastodon.social, @jfcryan@mastodon.social, @rbhar90@mastodon.social, @matthewcobb@mastodon.social, @AnneOsterrieder@mastodon.social, @nickcarey@mastodon.social, @PartridgeCG@mastodon.social, @paulstoy@mastodon.social, @jpmantis@mastodon.social, @kaisa@mastodon.world, @KristinT@mastodon.social, @KrScharn@ecoevo.social, @fmartin1954@ecoevo.social, @chrisvanswaay@ecoevo.social, @larusnz@ecoevo.social, @dave_matus@mastodon.social, @greenberg_avi@mastodon.social, @wntlab@mastodon.social, @kzkedzierska@mastodon.social, @jffoley@mastodon.social, @zhanghe_goh@mastodon.social, @chrismccrum@mastodon.social, @AuditoryNerves@mastodon.social, @Cybokat@mastodon.social, @jopabinia@ecoevo.social"
activism-civil-rights,"@activismandcivilrightscommunityupdate@newsmast.social, @debgod@newsmast.social, @3arabawy@newsmast.social, @newsmast@newsmast.social, @joe8Zeta7@mastodon.social, @ckohtala@scholar.social, @murshedz@mstdn.social, @ProjectFearlessness@mastodonapp.uk, @shobitap@mastodon.social, @DisruptionNetworkLab@mastodon.bida.im, @postkulturwiss@h-net.social, @humanrightswatch@mastodon.online, @JaniceOCG@mstdn.social, @DrHannahGraham@mastodon.scot, @EU_ECHO@respublicae.eu, @mshelton@mastodon.social, @imagesofprotest@mstdn.social, @YourAnonNews@nerdculture.de, @AnonNewsDE@social.tchncs.de, @MarkRuffalo@mastodon.social, @Climate_guy@floe.earth, @Radio_Web_MACBA@mastodon.social, @vera_wilde@nerdculture.de, @madsejsing@mastodon.world, @nataliesedacca@mastodon.online, @MAD_democracy@journa.host, @MelodyCooper@mastodon.world, @andrewstroehlein@mastodon.social, @DavidCorn@mastodon.social, @StephanieOrtoleva@earthstream.social, @cfaworkers@union.place, @indivisibleteam@mastodon.social, @Teri_Kanefield@mastodon.social, @ayoub@spore.social, @benjaminbuse.bsky.social@bsky.brid.gy, @nowthisimpact@threads.net, @blklivesmatter@threads.net, @laurapackardactivist@threads.net, @beyondmeat@threads.net, @jrf-uk.bsky.social@bsky.brid.gy, @theantimisogynyclub@threads.net, @InTheseTimesMag@flipboard.com, @freedomofpress@freedom.press"
books-literature,"@booksandliteraturecommunityupdate@newsmast.social, @petenothing@newsmast.social, @AlexShvartsman@newsmast.social, @newsmast@newsmast.social, @neilhimself@mastodon.social, @ramblingreaders@toot.community, @canongatebooks@bookish.community, @maryrobinette@wandering.shop, @aliettedb@wandering.shop, @oatmeal@mastodon.social, @_RachelHandley@eldritch.cafe, @medium@me.dm, @DiscworldMonthly@mastodonapp.uk, @marthawells@wandering.shop, @jodyhouser@mastodon.social, @scotlit@mastodon.scot, @brianbilston@mastodon.online, @queerscifi@mastodon.otherworldsink.com, @booktweeting@zirk.us, @StelliformPress@mastodon.online, @bookgaga@mastodon.social, @stephenfry@mastodonapp.uk, @kilombavita@rage.love, @helenawalshh@bullcity.space, @plainreading@mstdn.social, @If_This_Goes_On@newsmast.social, @fictaddict@newsmast.social, @carturo222@bookwyrm.social, @Medium@flipboard.com, @fictionable@mastodon.social"
us-politics,"@mjb@sciences.social, @w7voa@journa.host, @Free_Press@mstdn.social, @CeciliaMunoz@newsie.social, @marcelias@mas.to, @MattHodges@mastodon.social, @MeidasTouch@mstdn.social, @RepShontelBrown@mastodon.social, @RitchieTorres@universeodon.com, @RepDonBeyer@mas.to, @Joaquincastrotx@mastodon.social, @emptywheel@mastodon.social, @tristansnell@mstdn.social, @rbreich@masto.ai, @ben@adida.net, @bowendc@mastodon.social, @bykenarmstrong@mastodon.social, @owasow@mastodon.social, @JulieZebrak@mstdn.social, @aecoppock@mastodon.social, @brendannyhan@mastodon.social, @tzimmer_history@mastodon.social, @tusk81@mastodon.social, @RepSpeier@mastodon.world, @mattblaze@federate.social, @mollyjongfast@journa.host, @juddlegum@journa.host, @jayrosen_nyu@mastodon.social, @parkermolloy@masto.ai, @lussenpop@newsie.social, @brianbeutler@mastodon.online, @Nonilex@masto.ai, @DemocracyMattersALot@mstdn.social, @pbump@journa.host, @atrupar@journa.host, @wiseguyeddie@stranger.social, @DemDifference@mastodon.social, @DavidCorn@mastodon.social, @SeanCasten@mastodon.social, @dhstokyo@techhub.social, @billpascrell@mastodon.social, @RepJimHimes@mastodon.social, @repbowman@mastodon.social, @RepCasten@mastodon.social, @RepHorsford@mastodon.social, @RepAndyKimNJ@mastodon.social, @CongBoyle@mastodon.world, @MattGertz@journa.host, @msifry@mastodon.social, @jandrewsinclair@mastodon.online, @cjgabbe@fediscience.org, @indivisibleteam@mastodon.social, @Teri_Kanefield@mastodon.social, @ianbremmer@threads.net, @kylewilsontharp@threads.net, @couriernewsroom@threads.net, @walkerbragman@threads.net, @oliverdarcy@threads.net, @mollyjongfast@threads.net, @radleybalko.bsky.social@bsky.brid.gy, @newrepublic@threads.net, @timfullerton.bsky.social@bsky.brid.gy, @politico@flipboard.com, @democratsabroad@mastodon.social, @pollbot@mastodon.social, @joyannreid@threads.net, @Votebeat@flipboard.com, @dudes4harris@threads.net, @the_downballot@threads.net, @TheHill@flipboard.com, @moveon@threads.net, @womenforward.us@threads.net, @whitehouse46archive@threads.net, @potus46archive@threads.net, @swifties4hope@threads.net, @tangle_news@readtangle.com"
architecture-design,"@designmilkrss@newsmast.social, @architecturepodcastsalert @newsmast.social, @architecturecommunityupdate@newsmast.social, @newsmast@newsmast.social, @kerstinsailer@sciences.social, @morrarchitecture@mastodon.social, @portcitystudios@masto.ai, @Markasaurus@mastodon.social, @dabowphoto@mastodon.social, @modinmetro@mastodonapp.uk, @AshleyGardini@sfba.social, @Greyscape@mastodon.online, @angelo_arch@mastodon.social, @thearchitect@mastodon.social, @Dwell@flipboard.com, @FamilyHandyman@flipboard.com, @DormTherapy@flipboard.com, @wallpapermag@flipboard.com, @ElleDecoUK@flipboard.com, @HBUK@flipboard.com, @CountryLivingUK@flipboard.com, @CottageLife2018@flipboard.com"
news-comment-data,"@newscommunityupdate@newsmast.social, @michael_blogger@newsmast.social, @newsmast@newsmast.social, @TheConversationUS@newsie.social, @TheConversationAfrica@newsie.social, @TheConversationUK@newsie.social, @w7voa@journa.host, @ProPublica@newsie.social, @NewsDesk@flipboard.social, @fulelo@journa.host, @Windspeaker@mstdn.ca, @melaniesill@mastodon.social, @Bellingcat@mstdn.social, @dangillmor@mastodon.social, @jayrosen_nyu@mastodon.social, @Pwnallthethings@mastodon.social, @MarkRuffalo@mastodon.social, @RawStory@mastodon.social, @TexasObserver@texasobserver.social, @SteveThompson@mastodon.social, @damemagazine@newsie.social, @eff@mastodon.social, @themarkup@mastodon.themarkup.org, @walkerbragman@journa.host, @openDemocracy@newsie.social, @globalvoices@mstdn.social, @newlinesmag@mastodon.world, @NationalWorld@mastodon.world, @BBC_News_Labs@social.bbc, @BBCRadio4@social.bbc, @BBCRD@social.bbc, @apache_be@mastodon.online, @insideclimatenews@journa.host, @thenarwhal@mstdn.ca, @BBCTaster@social.bbc, @UnicornRiot@mastodon.social, @TheProgressive@federated.press, @wikipedia@wikis.world, @RollingStone@mstdn.social, @wendysiegelman@mastodon.social, @WillRobinson@indieweb.social, @pbump@journa.host, @atrupar@journa.host, @taylorlorenz@mastodon.social, @jeffjarvis@mastodon.social, @samlitzinger@journa.host, @remixtures@tldr.nettime.org, @anildash@me.dm, @niemanlab@mastodon.social, @bruno_j_navarro@mastodon.social, @pirhoo@mastodon.social, @LelaNargi@newsie.social, @YorkshireBylines@mas.to, @virginiaheffernan@journa.host, @Jonathan@schoolforafrica.org, @PodcastSteve@newsie.social, @joshsternberg@mstdn.social, @CentralBylines@mastodon.social, @scrippsnews@newsie.social, @foser@mastodon.social, @craignewmark@mastodon.social, @catileptic@chaos.social, @myosinttraining@infosec.exchange, @Maltego@infosec.exchange, @osinttechnical@mstdn.social, @SEINT@infosec.exchange, @mattburgess@infosec.exchange, @ronin13@infosec.exchange, @deankirby@journa.host, @RagnarHeidar@mastodon.social, @andreabettini@mastodon.uno, @mike@flipboard.social, @creativecommons@mastodon.social, @journalismnews@mastodon.social, @voxrss@newsmast.social, @rufposten@social.tchncs.de, @404mediaco@mastodon.social, @lucaswaldron@newsie.social, @craiglemoult@journa.host, @smaclellan@mstdn.ca, @journalismrss@newsmast.social, @otto_english@mastodon.social, @aaronjschaffer@mastodon.social, @Bing_Chris@mastodon.social, @gilhe@mastodon.social, @parben@newsmast.social, @helenajambor@mastodon.social, @BostonAbrams@newsmast.social, @NewsLitProject@flipboard.com, @oconnell@federate.social, @proofnews@mastodon.social, @giocomai@mastodon.social, @postopinions@threads.net, @ianbremmer@threads.net, @realjuddlegum@threads.net, @semafor@threads.net, @davemark6628@threads.net, @jbouie@threads.net, @theagendatvo@threads.net, @therobarcher@threads.net, @newslitproject@threads.net, @stephenkb.bsky.social@bsky.brid.gy, @owillis1977@threads.net, @newrepublic@threads.net, @slate@threads.net, @nevillehobson@threads.net, @nymag@threads.net, @bylinetimes@threads.net, @nadinebh_@threads.net, @sanya_burgess@threads.net, @zoe.kleinman@threads.net, @tortoise@threads.net, @kateaconger@threads.net, @texasobserver@threads.net, @harriet1marsden@threads.net, @mike_isaac@threads.net, @jonoread@threads.net, @matt_hfoster@threads.net, @mikebutcher.bsky.social@bsky.brid.gy, @realcarlallen@threads.net, @MotherJones2021@flipboard.com, @ConversationCA@flipboard.com, @InTheseTimesMag@flipboard.com, @freedomofpress@freedom.press"
indigenous-peoples,"@indigenouspeoplecommunityupdate@newsmast.social, @JenniferLawson@newsmast.social, @pam_palmater@newsmast.social, @JohnnieJae@newsmast.social, @newsmast@newsmast.social, @IndigenousFoodSov@toot.io, @KimTallBear@mastodon.social, @Windspeaker@mstdn.ca, @presandberg@spore.social, @Yehuda@turtleisland.social, @NewAmauta@mas.to, @mbergnordlie@samenet.social, @jcshunatona@turtleisland.social, @bvlbanchacollective@indigenousgulf.online, @hmlittlecbigc@sciences.social, @R_RoseRedwood@mastodon.social, @glaking@indg.club, @BvlbanchaLiberationRadio@indigenousgulf.online, @faskir@turtleisland.social, @naboohnu@mastodon.social, @danrueck@mastodon.social, @gsk@samenet.social, @brian_gettler@mas.to, @armp71@mastodon.sdf.org, @fulanigirl@mstdn.social, @YehudaMedia@turtleisland.social"
government-policy,"@governmentcommunityupdate@newsmast.social, @newsmast@newsmast.social, @AdmiralStav@mastodon.world, @emorier@mastodon.top, @radchenko@mas.to, @WarInTheFuture@mstdn.social, @maria_drutska@mstdn.social, @KaiMThaler@sciences.social, @YaelZeira@mastodon.social, @NICW@pix.toot.wales, @EEAS@social.network.europa.eu, @lastnotlost@mastodon.online, @davidkirlewmorris@mastodonapp.uk, @CeciliaMunoz@newsie.social, @danielschuman@mastodon.social, @donmoyn@sciences.social, @drjennings@mastodon.social, @ryanhagen@mastodon.social, @Caitlinmcmullin@mastodon.social, @flokeppeler@mastodon.social, @hankinson@mastodon.social, @alasdairroberts@mastodon.social, @ahersh@econtwitter.net, @blefebvre@mastodon.social, @britter@mastodon.social, @EmmettMacfarlane@mastodon.social, @VeroBalderasI@mastodon.social, @grogsgamut@mastodon.social, @jkhanson@mastodon.social, @kimrobyn@mastodon.online, @Annemieke_vandenDool@mastodon.online, @dave_aitel@mastodon.social, @gyamey@med-mastodon.com, @Juliaraifman@med-mastodon.com, @howlettm@mastodon.social, @DanImmergluck@mastodon.social, @nilsbandelow@mastodon.social, @KiraM@someone.elses.computer, @justinling@mastodon.online, @smaideman@mastodon.social, @RAWilliams@mstdn.social, @inesmergel@mastodon.social, @marilink@mastodon.social, @RMCarpiano@mastodon.social, @theeducationview@mastodon.social, @aordover@mas.to, @matt@mastodon.teachmaths.org, @blakejones@newsie.social, @jakeanders@sciences.social, @erringreg@mastodon.online, @thefluffy007@edumasto.org, @seanwithwords@mstdn.social, @OpenForum@vivaldi.net, @Maximilian_Mayer@mastodon.social, @MarkDevenport@mastodon.world, @RepShontelBrown@mastodon.social, @RitchieTorres@universeodon.com, @gregorykorte@journa.host, @RepDonBeyer@mas.to, @RepAdams@mastodon.social, @Joaquincastrotx@mastodon.social, @minna_alander@mastodon.world, @thejuicemedia@mastodon.social, @fgilardi@mastodon.social, @flavioazevedo@mastodon.social, @andrew@esq.social, @rickweinberg@techhub.social, @justyourluck@masto.ai, @GovTrack@mastodon.social, @educatoral@techhub.social, @zonsopkomst@mastodon.social, @cbail@mastodon.social, @schooldaves@mstdn.social, @danwuori@mas.to, @AlejandraPickett@mas.to, @BillCamp@mastodon.education, @dapostrophe@mastodon.social, @jeffgreene@mastodon.social, @frankferraiuolo@techhub.social, @openpolicynz@mastodon.social, @PRLeblond@mastodon.social, @breunig@mstdn.social, @philipptrein@tooting.ch, @RMansell@mastodonapp.uk, @NickAnguelov@fediscience.org, @meganehatch@mas.to, @funambule@mastodon.social, @justinhendrix@mastodon.social, @ChrisMcCahill@urbanists.social, @M_punkt_S@mastodon.social, @consideration@mastodon.social, @andrew@fediscience.org, @Bram_Wauters@mastodon-belgium.be, @z_everson@journa.host, @maxheermann@eupolicy.social, @mattiaguidi@sciences.social, @The74@flipboard.com, @IHIEurope@mastodon.social, @teachsleeprepeatpodcast@threads.net, @exetercouncil@threads.net"
biodiversity-rewilding,"@biodiversitycommunityupdate@newsmast.social, @newsmast@newsmast.social, @mongabay@mastodon.green, @nywolforg@mastodon.world, @JulianHoffman@mastodon.online, @palmoildetectives@mastodonapp.uk, @Christownsendoutdoors@mastodon.scot, @rewildingmag@spore.social, @OceanAndClimate@fediscience.org, @bumblebeeconservationtrust@mastodonapp.uk, @biodiva@fediscience.org, @larena@theblower.au, @TraciInFinland@fediscience.org, @Mol_Ecol@ecoevo.social, @MeadeKrosby@mas.to, @Biodiversity@theblower.au, @JenniferMolidor@mastodon.social, @GrrlScientist@mstdn.science, @arthurgessler@mastodon.social, @elizkolbert@sciencemastodon.com, @resilienceSci@fediscience.org, @TobiasKuemmerle@ecoevo.social, @matthiasschroeter@mastodon.social, @peterdesmet@mastodon.social, @FieldGuideAnthropocene@mastodon.social, @ElisabethBoenisch@ecoevo.social, @aram@aoir.social, @hawaiianeye797@mastodon.online, @DNAdataPhile@ecoevo.social, @animalculum@scholar.social, @jpGattuso@fediscience.org, @Fmkdejong@fediscience.org, @DrPlanktonguy@ecoevo.social, @SarahMackAttack@scicomm.xyz, @KaylinQ@mstdn.science, @ClimateTessa@mastodon.social, @PoLaRobs@fediscience.org, @dralgaegirl@ecoevo.social, @juliusgarbe@mastodon.social, @spestana@mastodon.social, @chrisgoatley@ecoevo.social, @CaryaMaharja@mstdn.social, @Andbaker@aus.social, @opensourcegardens@chaos.social, @biodiversity@mastodon.social, @cleliasirami@ecoevo.social, @florian_altermatt@ecoevo.social, @communities@ecoevo.social, @JamieDunning@mastodon.social, @naturealexk@freiburg.social, @RSPB@mastodonapp.uk, @carlosmoffat@fediscience.org, @brenhinkeller@fosstodon.org, @AgroecologyMap@mas.to, @avsm@recoil.org, @RestPoll@mastodon.social, @gbif@biodiversity.social"
